"Code","Cluster"
"AI",1
"AL",2
"AR",3
"AT",4
"AU",4
"AV",4
"BA",3
"BE",1
"BL",2
"BP",3
"BR",4
"BT",5
"BU",2
"BZ",2
"CB",4
"CG",3
"CH",2
"CL",1
"CN",3
"CO",4
"DA",2
"DO",4
"DU",1
"ED",1
"EG",2
"GA",3
"GG",4
"GM",1
"GR",1
"HA",4
"HE",1
"HU",2
"IN",2
"JE",1
"JM",4
"KE",4
"KI",4
"LB",5
"LE",4
"LG",2
"LI",5
"LO",3
"LV",3
"MA",2
"MC",3
"ME",5
"MM",2
"MT",1
"NoA",3
"NN",5
"NO",2
"NP",3
"OR",1
"PO",3
"PU",4
"PW",5
"RG",2
"RM",3
"RO",1
"RS",5
"SC",1
"SH",3
"SO",3
"SS",4
"TH",4
"TO",3
"UP",5
"VO",1
"WA",1
"WB",1
"WC",4
"WE",3
"WP",4
"WR",1
"WT",5
"WW",4
"WY",4
