"","Code","CR_2011","CR_2012","CR_2013","CR_2014","CR_2015","VC_2012","VC_2013","VC_2014","VC_2015","MedPV","PCTMale","PCTFemale","PCTAg0_4","PCTAg5_17","PCTAg18_34","PCTAg35_64","PCTAg65Pls","PCTWhite","PCTBlack","PCTAsian","PCTHispLat","PCTothRace","PCTMCFamHH","PCTMaleHH","PCTFemalHH","PCTNoFamHH","PCT15Mried","PCT15Wid","PCT15Div","PCT15Septd","PCT15Nmary","PCT3PubSch","PCT3PvtSch","PCT25LT9th","PCT25NoHSD","PCT25HSgrad","PCT25SColl","PCT25Assoc","PCT25BSc","PCT25GrPls","PCT5SEngVW","PCT5SEgNVW","PCT5Eng","PCT5NonEng","PCT_BPL","PCT_APL","PCTHHFstmp","PCTHHNFStp","PCTILForce","PCT16Emp","PCT16Unemp","PCTioAgr","PCTioCnstr","PCTioManuf","PCTioWSTrd","PCTioRtl","PCTioTrans","PCTioInfo","PCTioFin","PCTioProf","PCTioEdu","PCTioArts","PCTioOthPA","PCTioPA","PCTioOmgt","PCTioOserv","PCTioOsale","PCTioOnres","PCTioOprod","PCTtLT10m","PCTt10_29m","PCTt30_59m","PCTt61mPls","PCTmtwCar","PCTmtwDaln","PCTmtwcpol","PCTmtwpubT","PCTmtwbus","PCTmtwEL","PCTmtwRail","PCTmtwtaxi","PCTmtwmcy","PCTmtwbike","PCTmtwwalk","PCTmtwothr","PCTmtwWFHm","PCTHUOcc","PCTHUOocc","PCTHURocc","PCTHUVcnt","PCTindCr","PCTnindCr","PCTvoted","PCTvoter"
"2","AI",165634,157405,146943,128656,122335,133964,126397,114332,110694,234400,49.59,50.41,5.24,14.83,24.34,41.85,13.74,59.93,0.68,4.85,33.51,1.03,49.43,5.63,13.7,31.24,48.05,7.05,7.86,1.93,35.11,73.1,26.9,8.92,7.68,32.72,19.6,7.54,16.49,7.12,75.55,24.45,44.63,55.37,11.2,88.8,10.38,89.62,67.99,68.67,21.3,0.04,9.06,10.98,3.08,11.05,6.94,3.17,6.39,9.95,19.19,9.95,5.67,4.53,26.95,20.74,26.07,12.18,14.05,4.2,30.22,49.1,16.48,81.36,71.01,10.35,13.27,7.92,3.83,1.52,0.03,0.38,0.58,2.23,0.85,1.31,90.89,64.42,26.47,9.11,41.6,58.4,44.40312811,0.527757546330015
"3","AL",120059,83297,572,50484,133366,78485,421,53116,153751,287577,50.97,49.03,7.71,14.74,28.64,37.11,11.79,38.06,3.92,16,39.91,2.12,46.31,7.37,10.94,35.37,45.72,4.72,7.95,1.92,39.68,68.99,31.01,13.02,7.88,19.22,16.03,4.94,24.56,14.36,69.03,30.97,39.9,60.1,16.71,83.29,14.13,85.87,70.05,71.03,20.29,0.24,5.5,8.89,1.79,8.9,4.9,1.51,6.36,12.05,23.3,16.83,6.69,3.06,37.68,24.79,18.82,6.9,11.81,5.32,30.33,49.59,14.75,60.07,51.44,8.62,28.44,10.99,14.99,2.16,0,0.09,1.03,5.6,0.55,4.23,91.03,42.08,48.94,8.97,42.2,57.8,46.9697627,0.360459115857949
"4","AR",101951,97256,93854,85217,82792,120173,110419,107148,108588,158438,50.13,49.87,6.74,21.45,26.18,34.94,10.68,19.3,3.45,2.38,74.52,0.36,51.22,9.86,18.26,20.67,44.14,5.19,6.68,2.31,41.67,84.68,15.32,19.9,11.83,35.46,17.06,5.45,7.78,2.52,66.46,33.54,23.34,76.66,15.78,84.22,18.77,81.23,64.79,65.04,22.65,0.5,7.72,17.1,3.56,11.16,6.24,1.84,5.02,12.01,13.99,12.54,5.05,3.29,15.32,24.7,22.57,12.52,24.89,5.27,36.02,44.97,13.74,78,62.85,15.14,16.3,8.03,7.64,0.32,0,0,0.34,3.95,0.31,1.1,91.17,63.58,27.58,8.83,42.47,57.53,45.04236875,0.430211606955793
"5","AT",9611,10010,9518,8509,6382,62058,63052,61270,58248,101183,43.7,56.3,8.63,26.22,22.87,33.14,9.14,7.84,74.3,0,17.21,0.65,19.43,8.28,40.58,31.71,21.36,6.31,10.57,3.59,58.17,90.36,9.64,7.73,12.91,35.74,28.07,5.68,7.55,2.35,94.36,5.64,86.57,13.43,44,56,43.24,56.76,58.75,58.95,24.12,0.38,3.32,11.85,2.46,14.35,7.9,2.53,5.22,7.48,27.89,6.56,2.11,7.94,17.61,29.1,27.47,6.45,19.37,5.95,29.68,35.63,28.73,67.28,58.72,8.56,23.66,17.16,2.57,3.46,0,0,0.12,4.12,0.14,4.69,76.81,28.03,48.78,23.19,34.44,65.56,41.16981908,0.543676297993629
"6","AU",25527,26524,22947,23394,22442,103092,89762,82548,79000,157010,44.18,55.82,7.52,19.11,24.16,36.99,12.22,2.34,92.98,0.15,3.99,0.55,19.23,6.42,38.86,35.48,19.38,6.73,9.1,3.62,61.19,89.38,10.62,5.78,19.48,36,22.62,6.8,6.6,2.66,98.1,1.9,95.41,4.59,33.33,66.67,39.94,60.06,53.11,53.45,24.72,0,1.37,8.5,1.27,12.34,9.21,2.62,5.34,11,30.27,7.1,4.35,6.62,19.68,29.74,29.92,2.86,17.8,3.36,28.98,46.74,20.92,56.33,49.43,6.91,35.37,28.96,5.85,0.37,0.64,0,0.09,3.3,0.97,3.29,82.69,25.7,56.99,17.31,29.1,70.9,46.6600642,0.67515159899472
"7","AV",71884,66885,58715,56819,49109,129318,124050,121867,111994,140881,44.72,55.28,5.33,15.63,19.81,41.05,18.18,1.41,96.27,0.28,1.27,0.77,20.75,6.68,30.4,42.17,23.65,10.23,13.34,4.81,47.97,79.8,20.2,3.66,9.08,25.81,31.92,8.14,13.06,8.34,98.79,1.21,95.53,4.47,24.36,75.64,31.66,68.34,58.25,58.69,24.06,0.04,3.04,5.59,1.33,7.52,9.69,1.61,8,11.68,32.63,7.94,3.46,7.46,30.84,28.25,24.48,4.59,11.84,4.4,27.71,41.87,26.02,63.47,55.52,7.95,30.45,24.76,3.05,2.65,0.05,0,0.18,2.14,0.56,3.15,81.24,40.46,40.77,18.76,37.13,62.87,54.57539343,0.756192612588636
"8","BA",40470,NA,20701,53777,46855,NA,23759,64753,65541,131014,50.82,49.18,8.72,24.89,26.22,34.11,6.07,4.85,11.81,2.4,80.32,0.62,46.99,10.91,19.36,22.74,41.48,3.69,5.51,3.61,45.71,91.74,8.26,31.32,13.59,34.55,11.59,2.77,4.17,2.05,61.44,38.56,23.28,76.72,33.2,66.8,35.8,64.2,62.45,62.82,23.22,0.44,8.23,20.13,3.85,9.46,5.95,1.51,2.55,12.21,10.8,15.97,7.61,1.29,10.58,27.35,19.1,13.16,29.81,4.15,34.69,46.63,14.53,71.15,55.05,16.1,19.52,12.9,5.49,0.61,0.03,0,1.21,5.84,0.45,1.79,79.48,30.88,48.59,20.52,38.06,61.94,32.37355002,0.390467650710443
"9","BE",106619,90701,81042,67760,64542,106271,102975,102260,99833,210422,45.35,54.65,5.36,16.66,18.45,42.67,16.85,26.15,68.13,0.26,4.19,1.27,45.31,4.61,20.88,29.2,41.76,7.21,9.99,2.11,38.96,63.1,36.9,2.26,5.05,23.77,26.7,6.42,18.51,17.24,98.41,1.59,94.87,5.13,10.65,89.35,13.01,86.99,61.68,62.21,23.31,0.08,4.1,3.8,1.48,6.94,7.65,2.49,8.15,10.63,31.91,6.07,4.43,12.3,44.3,20.5,20.63,5.97,8.61,4.89,31.22,45.73,18.16,72.92,64.81,8.11,21.29,8.72,3.37,9.11,0.04,0.11,0.28,1.2,0.14,4.01,91.27,70.72,20.55,8.73,40.14,59.86,66.54629351,0.712886155606407
"11","BL",128882,138346,129742,112996,101183,159881,139554,124567,114142,288885,47,53,5.9,11.61,33.08,35.48,13.93,30.68,51.84,9.44,5.18,2.86,22.98,2.66,13.51,60.86,29.26,5.09,11.82,2.95,50.9,40.51,59.49,2.47,4.79,10.93,16.37,4.1,24.37,36.95,94.47,5.53,80.54,19.46,22.67,77.33,15.04,84.96,62.6,63.36,22.94,0.09,1.16,2.95,1,5.8,3.97,2.42,7.76,13.58,45.26,7.18,4.94,3.88,61.55,13.18,19.04,1.97,4.26,7.14,49.59,32.24,11.03,40.04,34.9,5.15,31.97,24.03,4.67,3.24,0.44,0,3.25,16.67,0.92,6.71,86.94,27.99,58.94,13.06,46.81,53.19,62.40696395,0.646959070449074
"13","BP",99091,82400,76837,70790,66829,87430,82572,78415,73786,164573,51.95,48.05,7.48,23.51,26.44,36,6.57,6.77,1.13,6.5,85.41,0.19,51.54,12.09,16.59,19.78,44.26,4.29,5.68,2.55,43.19,91.38,8.62,32.15,13.15,31.26,10.68,5.46,5.28,2.06,57.8,42.2,15.27,84.73,25.66,74.34,26.6,73.4,65.45,65.62,22.5,0.17,6.44,20.36,3.83,9.57,5.54,1.8,3.36,11.44,10.06,18.51,7.73,1.19,11.71,26.13,20.53,11.15,30.48,3.35,32.98,47.2,16.48,76.68,58.89,17.8,17.32,10.98,5.3,0.51,0,0,0.7,3.42,0.73,1.15,85.04,42.29,42.75,14.96,39.35,60.65,32.80562885,0.347373566613031
